#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv0001	dnaA	31	0.00	0.00
Rv0002	dnaN	31	0.00	0.00
Rv0003	recF	35	12.08	23.65
Rv0004	-	7	0.00	4.72
Rv0005	gyrB	42	13.01	4.45
Rv0006	gyrA	45	4.83	4.06
Rv0007	-	10	2.06	24.00
Rv0008c	-	4	232.62	132.94
Rv0009	ppiA	7	138.15	136.33
Rv0010c	-	10	120.25	162.11
Rv0011c	-	3	0.00	0.00
Rv0012	-	16	157.18	233.27
Rv0013	trpG	15	1.07	0.00
Rv0014c	pknB	24	0.00	0.00
Rv0015c	pknA	16	10.86	26.59
Rv0016c	pbpA	37	14.09	16.39
Rv0017c	rodA	27	34.21	45.03
Rv0018c	ppp	25	13.08	11.21
Rv0019c	-	13	200.66	73.85
Rv0020c	TB39.8	52	11.17	8.60
Rv0021c	-	22	256.16	215.31
Rv0022c	whiB5	8	213.19	455.94
Rv0023	-	12	0.00	0.00
Rv0024	-	12	151.27	203.72
Rv0025	-	7	60.75	81.10
Rv0026	-	14	93.08	151.31
Rv0027	-	5	13.72	54.04
Rv0028	-	5	2.29	85.94
Rv0029	-	18	91.83	167.03
Rv0030	-	5	10.97	28.46
Rv0031	-	1	0.00	0.00
Rv0032	bioF2	57	112.63	126.07
Rv0033	acpA	3	156.22	135.57
Rv0034	-	5	65.84	236.27
Rv0035	fadD34	25	173.20	220.75
Rv0036c	-	4	560.12	589.24
Rv0037c	-	20	175.01	98.95
Rv0038	-	7	240.38	219.07
Rv0039c	-	4	238.91	251.15
Rv0040c	mtc28	9	38.36	33.53
Rv0041	leuS	72	0.00	0.00
Rv0042c	-	5	16.46	80.19
Rv0043c	-	10	34.98	122.02
Rv0044c	-	20	161.63	206.81
Rv0045c	-	7	199.23	289.08
Rv0046c	ino1	16	0.00	0.00
Rv0047c	-	7	133.25	92.39
Rv0048c	-	16	276.34	348.06
Rv0049	-	8	47.15	110.84
Rv0050	ponA1	37	18.54	18.96
Rv0051	-	34	105.50	85.77
Rv0052	-	7	197.27	195.46
Rv0053	rpsF	6	0.00	0.00
Rv0054	ssb	5	0.00	0.00
Rv0055	rpsR	4	0.00	19.40
Rv0056	rplI	7	13.06	46.61
Rv0057	-	15	55.78	58.64
Rv0058	dnaB	39	0.00	0.00
Rv0059	-	20	205.41	209.11
Rv0060	-	23	12.52	7.87
Rv0061	-	6	66.30	131.02
Rv0062	celA1	21	147.19	176.50
Rv0063	-	23	231.10	204.20
Rv0064	-	68	56.85	70.29
Rv0065	-	8	82.30	63.77
Rv0066c	icd2	38	0.00	0.45
Rv0067c	-	12	25.34	34.85
Rv0068	-	12	163.08	74.01
Rv0069c	sdaA	12	366.55	80.60
Rv0070c	glyA2	18	90.69	109.07
Rv0071	-	8	497.82	260.13
Rv0072	-	16	183.18	235.25
Rv0073	-	15	252.40	303.82
Rv0074	-	19	46.08	87.82
Rv0075	-	24	178.61	161.56
Rv0076c	-	3	137.17	139.88
Rv0077c	-	14	151.71	138.99
Rv0078	-	8	23.15	7.19
Rv0078A	-	10	184.95	100.17
Rv0079	-	14	316.31	271.52
Rv0080	-	4	333.78	379.77
Rv0081	-	5	288.98	298.36
Rv0082	-	7	184.20	95.88
Rv0083	-	23	125.44	194.33
Rv0084	hycD	9	152.92	133.98
Rv0085	hycP	4	48.58	67.55
Rv0086	hycQ	15	24.84	27.88
Rv0087	hycE	25	24.14	32.42
Rv0088	-	14	30.54	22.28
Rv0089	-	10	62.87	113.97
Rv0090	-	12	106.88	114.61
Rv0091	mtn	11	298.66	284.43
Rv0092	ctpA	30	145.94	122.59
Rv0093c	-	8	78.87	42.94
Rv0094c	-	14	91.45	97.83
Rv0095c	-	9	95.51	28.42
Rv0096	PPE1	34	120.36	171.45
Rv0097	-	26	152.38	99.88
Rv0098	-	11	25.77	37.76
Rv0099	fadD10	32	29.51	35.53
Rv0100	-	3	230.91	45.03
Rv0101	nrp	122	112.12	97.04
Rv0102	-	42	0.00	0.00
Rv0103c	ctpB	30	178.78	182.62
Rv0104	-	27	134.21	220.47
Rv0105c	rpmB	5	81.85	114.97
Rv0106	-	12	48.39	124.32
Rv0107c	ctpI	65	109.21	113.65
Rv0108c	-	2	298.35	166.71
Rv0109	PE_PGRS1	27	11.77	26.14
Rv0110	-	13	528.29	442.98
Rv0111	-	42	111.32	107.75
Rv0112	gca	31	14.45	9.13
Rv0113	gmhA	12	29.34	80.00
Rv0114	gmhB	9	81.80	115.29
Rv0115	hddA	18	201.19	146.35
Rv0116c	-	17	98.31	145.49
Rv0117	oxyS	17	65.76	37.87
Rv0118c	oxcA	26	70.70	66.28
Rv0119	fadD7	13	0.18	0.00
Rv0120c	fusA2	27	18.29	50.67
Rv0121c	-	10	64.47	99.45
